#,Name,RA,Dec,RA (decimal),"RA (deg, dec)",Dec (decimal),Class,Hipparcos,Tycho,Average B/V mag,Teff, e_Teff,Log g,e_log g,log y,e_log y,Reference,E(B-V),e_E(B-V),AV,FUV (GALEX),e_FUV (GALEX),NUV (GALEX),e_NUV (GALEX),F (GSC),e_F (GSC),Bj (GSC),e_Bj (GSC),V (GSC),e_V (GSC),N (GSC),e_N (GSC),B (GSC),e_B (GSC),V (APASS),e_V (APASS),B (APASS),e_B (APASS),g (APASS),e_g (APASS),r (APASS),e_r (APASS),I (APASS),e_i (APASS),u (SDSS),e_u (SDSS),g (SDSS),e_g (SDSS),r (SDSS),e_r (SDSS),I (SDSS),e_i (SDSS),z (SDSS),e_z (SDSS),u (VST),e_u (VST),g (VST),e_g (VST),r (VST),e_r (VST),I (VST),e_i (VST),z (VST),e_z (VST),J (2MASS),e_J (2MASS),H (2MASS),e_H (2MASS),K (2MASS),e_K (2MASS),Y (UKIDSS),e_Y (UKIDSS),J (UKIDSS),e_J (UKIDSS),H (UKIDSS),e_H (UKIDSS),K (UKIDSS),e_K (UKIDSS),Z (VISTA),e_Z (VISTA),Y (VISTA),e_Y (VISTA),J (VISTA),e_J (VISTA),H (VISTA),e_H (VISTA),Ks (VISTA),e_Ks (VISTA),W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,PM_RA (SDSS),e_PM_RA (SDSS),PM_DEC (SDSS),e_PM_DEC (SDSS),PM_RA (UCAC4),e_PM_RA (UCAC4),PM_DEC (UCAC4),e_PM_DEC (UCAC4),PM_RA (PPMXL),e_PM_RA (PPMXL),PM_DEC (PPMXL),e_PM_DEC (PPMXL),PM_RA (USNO),e_PM_RA (USNO),PM_DEC (USNO),e_PM_DEC (USNO),PM_RA (APOP),e_PM_RA (APOP),PM_DEC (APOP),e_PM_DEC (APOP),PM_RA (URAT1),e_PM_RA (URAT1),PM_DEC (URAT1),e_PM_DEC (URAT1),PM_RA (SPM4),e_PM_RA (SPM4),PM_DEC (SPM4),e_PM_DEC (SPM4),CRTS DR2,SWASP,,,,,,,,,,,,,,,,
PG,1348+606,13:50:15.98,60:24:38.40,13.837772,207.566583,60.410667,He-sdO,,,16.0,54360,1980,5.45,0.25,-0.06,0.58,Luo16,0.0126,0.0003,0.039,14.501,0.015,14.882,0.011,16.530,0.370,16.080,0.410,16.660,0.280,17.360,0.450,15.610,0.410,16.266,0.131,16.131,0.251,15.933,,16.387,,,,15.565,0.004,16.030,0.003,16.583,0.004,16.969,0.005,17.336,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.421,0.151,16.830,0.297,13.251,,9.046,,-4.0,3.0,-8.0,3.0,,,,,-5.5,4.8,-1.1,4.8,,,,,-5.6,1.0,-3.2,2.1,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,135025.81-011035.6,13:50:25.81,-01:10:35.6,13.840503,207.607542,-1.176556,sdB,,,19.5,,,,,,,,0.0396,0.0013,0.123,18.265,0.052,18.622,0.037,20.100,0.560,19.530,0.430,,,,,19.900,0.440,,,,,,,,,,,19.154,0.020,19.438,0.012,19.921,0.019,20.263,0.033,20.561,0.146,,,,,,,,,,,,,,,,,20.418,0.138,20.337,0.249,,,,,,,,,,,,,,,,,,,,,,,-1.0,4.0,7.0,4.0,,,,,-3.1,5.2,0.3,5.2,,,,,3.2,2.7,6.3,3.2,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,1349+659,13:50:45.27,65:42:07.35,13.845908,207.688625,65.702042,sdO(A),,,15.7,,,,,,,,0.0157,0.0006,0.049,14.402,0.015,14.832,0.011,15.550,0.330,15.530,0.320,15.940,0.240,15.540,0.370,15.610,0.380,15.785,,15.854,0.024,15.983,,16.166,,,,15.319,0.004,15.665,0.004,16.172,0.004,16.565,0.005,16.902,0.012,,,,,,,,,,,16.597,0.115,16.761,,16.021,0.254,,,,,,,,,,,,,,,,,,,17.740,0.182,17.042,0.329,13.273,,9.578,,-34.0,3.0,-17.0,3.0,-38.2,5.0,-29.3,5.3,-25.2,6.0,10.5,6.0,-26.0,,-6.0,2.0,-33.0,2.0,-5.6,1.8,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,1348+369,13:50:52.90,36:42:02.27,13.848028,207.720417,36.700631,sdO(B),,,13.3,,,,,,,,0.0144,0.0005,0.045,,,,,13.650,0.130,13.390,0.110,13.570,0.300,13.280,0.120,12.820,0.410,13.603,,13.283,0.007,13.385,,13.836,,13.914,0.220,13.102,0.003,13.224,0.001,15.456,0.011,14.461,0.005,14.312,0.005,,,,,,,,,,,13.991,0.023,13.894,0.028,13.800,0.039,,,,,,,,,,,,,,,,,,,13.530,0.027,13.477,0.032,12.449,,9.386,,-24.0,2.0,-3.0,2.0,-23.8,0.9,-0.1,0.8,-27.8,3.8,-9.0,3.8,-20.0,2.0,2.0,2.0,-20.9,2.4,-4.9,1.8,-20.5,5.2,8.9,5.2,,,,,var strong 3.3157,var strong 3.3157,,,,,,,,,,,,,,,,
PG,1348+083,13:50:56.86,08:01:10.22,13.849128,207.736917,8.019506,sdB+X,,,15.9,,,,,,,,0.0210,0.0004,0.065,15.363,0.023,15.758,0.016,15.580,0.430,15.770,0.410,15.960,0.310,15.530,0.430,15.760,0.430,15.808,0.087,16.011,0.022,15.878,0.051,15.871,0.040,15.823,,16.029,0.005,15.785,0.004,15.845,0.005,15.884,0.005,15.960,0.007,,,,,,,,,,,15.219,0.044,15.080,0.080,15.286,0.178,15.464,0.005,15.266,0.005,15.024,0.008,,,,,,,,,,,,,14.969,0.034,15.175,0.086,12.986,,9.098,,-2.0,2.0,-4.0,2.0,-2.5,2.5,-12.5,3.0,-1.6,4.1,-1.3,4.1,6.0,3.0,4.0,,0.9,2.2,-4.2,1.4,-11.9,6.0,-15.6,6.0,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,135059.00+285921.9,13:50:59.00,28:59:21.9,13.849722,207.745833,28.989417,sdB,,,18.4,,,,,,,,0.0127,0.0008,0.039,17.955,0.093,18.131,0.030,18.950,0.340,18.250,0.300,18.660,0.370,19.290,0.340,18.330,0.310,,,,,,,,,,,18.443,0.017,18.396,0.007,18.828,0.011,19.133,0.018,19.487,0.083,,,,,,,,,,,,,,,,,19.015,0.077,19.157,0.171,,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,-2.0,3.0,,,,,-2.6,4.7,-2.5,4.7,,,,,-0.2,3.3,3.7,4.2,,,,,,,,,blend,too faint,,,,,,,,,,,,,,,,
SDSSJ,135108.48-011555.4,13:51:08.48,-01:15:55.4,13.852356,207.785333,-1.265389,sdB?,,,19.7,,,,,,,,0.0439,0.0008,0.136,18.427,0.082,18.675,0.035,20.330,0.600,20.270,0.440,,,,,19.750,0.440,,,,,,,,,,,19.320,0.029,19.631,0.013,20.064,0.022,20.436,0.043,20.538,0.171,,,,,,,,,,,,,,,,,20.714,0.208,,,,,,,,,,,,,,,,,,,,,,,,,10.0,3.0,-4.0,3.0,,,,,5.5,5.7,-5.3,5.7,,,,,10.8,1.8,-9.6,3.0,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,135140.69+023429.2,13:51:40.69,02:34:29.2,13.861303,207.919542,2.574778,sdOB,,,17.1,36080,,5.41,,-3.93,,Nemethprep,0.0235,0.0007,0.073,15.824,0.013,16.249,0.009,17.330,0.440,17.170,0.410,17.480,0.390,17.440,0.440,16.770,0.430,,,,,,,,,,,16.886,0.008,17.063,0.004,17.422,0.005,17.606,0.007,17.786,0.022,,,,,,,,,,,,,,,,,17.370,0.021,17.186,0.032,17.079,0.044,17.096,0.079,,,,,,,,,,,17.332,0.149,16.825,0.332,13.098,,9.439,,-9.0,3.0,-3.0,3.0,,,,,-14.2,4.6,-4.5,4.6,,,,,-7.8,1.1,-3.2,1.2,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,135144.13+124255.8,13:51:44.13,12:42:55.8,13.862258,207.933875,12.715500,sdO,,,18.9,,,,,,,,0.0190,0.0006,0.059,,,,,19.410,0.460,18.990,0.420,,,,,18.780,0.350,,,,,,,,,,,18.708,0.019,19.133,0.010,19.638,0.016,20.012,0.026,20.294,0.128,,,,,,,,,,,,,,,,,20.046,0.183,20.350,0.400,19.433,0.239,,,,,,,,,,,,,,,,,,,,,-5.0,3.0,0.0,3.0,,,,,-6.7,5.7,-2.3,5.7,,,,,-1.8,3.2,-5.8,4.7,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ9/10,135150.62+035718.0,13:51:50.62,03:57:18.0,13.864061,207.960917,3.955000,He-sdOB,,,18.9,38560,,6.00,,1.22,,Nemethprep,0.0238,0.0006,0.074,17.751,0.038,18.144,0.024,19.410,0.470,19.170,0.410,19.070,0.600,,,18.720,0.430,,,,,,,,,,,18.625,0.017,18.983,0.010,19.531,0.016,19.903,0.026,20.208,0.124,,,,,,,,,,,,,,,,,19.952,0.166,19.485,0.215,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,-7.0,3.0,,,,,-6.4,5.2,-2.4,5.2,,,,,-2.2,2.1,0.0,2.3,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,1349-012,13:51:53.28,-01:29:44.54,13.864800,207.972000,-1.495706,sdB,,,15.3,30970,920,5.67,0.19,-2.63,0.00,Luo16,0.0502,0.0016,0.156,14.662,0.016,14.905,0.006,15.640,0.420,14.980,0.420,,,15.690,0.430,15.700,0.430,,,,,,,,,,,15.304,0.005,15.416,0.003,15.863,0.004,16.180,0.004,16.455,0.009,,,,,,,,,,,16.192,0.111,16.363,0.198,15.338,,16.164,0.007,16.227,0.008,16.306,0.013,16.377,0.029,,,,,,,,,,,16.633,0.096,16.679,0.336,12.340,,9.395,,-34.0,2.0,-23.0,2.0,-25.8,4.7,-21.0,4.6,-29.2,4.3,-18.5,4.3,-24.0,2.0,-20.0,2.0,-30.9,1.1,-23.8,1.2,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,135210.12-015836.1,13:52:10.12,-01:58:36.1,13.869478,208.042167,-1.976694,He-sdOB,,,18.7,38020,,5.81,,0.40,,Nemethprep,0.0421,0.0015,0.131,17.741,0.061,17.991,0.047,18.910,0.440,18.770,0.420,,,,,18.820,0.440,,,,,,,,,,,18.542,0.018,18.862,0.009,19.200,0.013,19.447,0.020,19.485,0.068,,,,,,,,,,,,,,,,,,,,,18.705,0.236,,,,,,,,,,,,,17.188,0.140,16.550,0.272,12.543,,9.040,,-10.0,3.0,-7.0,3.0,,,,,0.7,5.2,-6.8,5.2,,,,,-11.9,1.9,-1.7,2.4,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,135212.26+375412.8,13:52:12.26,37:54:12.8,13.870072,208.051083,37.903556,sdB,,,18.8,,,,,,,,0.0166,0.0006,0.051,17.931,0.029,18.218,0.020,19.200,0.430,19.010,0.420,,,,,,,,,,,,,,,,,18.707,0.017,18.829,0.008,19.244,0.012,19.612,0.018,19.846,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,3.0,-3.0,3.0,,,,,-3.0,5.0,-4.6,5.0,2.0,1.0,,1.0,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,135212.50+123232.3,13:52:12.50,12:32:32.3,13.870139,208.052083,12.542306,sdB,,,16.8,,,,,,,,0.0192,0.0002,0.059,,,,,16.930,0.430,16.730,0.410,17.110,0.250,17.380,0.360,16.450,0.350,,,,,,,,,,,17.114,0.008,16.759,0.004,17.126,0.005,17.402,0.006,17.622,0.018,,,,,,,,,,,,,,,,,17.247,0.017,17.368,0.028,17.387,0.044,17.594,0.095,,,,,,,,,,,,,,,,,,,-4.0,3.0,-1.0,3.0,,,,,-4.6,5.2,-1.0,5.2,2.0,,2.0,2.0,-2.7,1.3,-1.2,1.4,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
EC,13494-2320,13:52:14.95,-23:34:57.26,13.870819,208.062292,-23.582572,sdO,,,15.3,,,,,,,,0.0576,0.0014,0.178,13.668,0.009,14.236,0.005,15.600,0.400,15.120,0.270,,,15.710,0.410,15.100,0.450,15.526,0.093,15.259,0.113,15.317,0.034,15.738,0.086,15.886,0.130,,,,,,,,,,,,,,,,,,,,,16.007,0.079,15.812,0.176,15.038,,,,,,,,,,,,,,,,,,,,16.067,0.062,16.311,0.260,12.475,,9.014,,,,,,-25.5,2.7,-10.5,4.0,-27.2,4.3,-8.8,4.3,-18.0,1.0,-8.0,1.0,-25.0,3.4,-12.2,1.7,,,,,-26.0,2.7,-8.9,2.5,const,too faint,,,,,,,,,,,,,,,,
LSE,44,13:52:40.84,-48:08:22.26,13.878011,208.170167,-48.139517,sdO,,1,12.4,,,,,,,,0.1078,0.0022,0.334,,,,,,,,,12.770,0.270,,,12.130,0.130,12.468,0.053,12.200,0.008,12.226,0.034,12.672,0.043,13.023,0.032,,,,,,,,,,,,,,,,,,,,,13.006,0.023,13.136,0.026,13.208,0.037,,,,,,,,,,,,,13.006,0.002,,,13.220,0.004,13.322,0.026,13.455,0.032,13.079,,9.483,,,,,,-27.6,0.9,-7.3,0.9,-27.4,2.2,-6.5,2.2,-28.0,,-8.0,,,,,,,,,,-29.7,0.7,-8.0,0.7,const,const,,,,,,,,,,,,,,,,
PG,1350+372,13:52:59.02,36:55:37.67,13.883061,208.245917,36.927131,sdB,,,14.1,,,,,,,,0.0101,0.0003,0.031,13.469,0.010,13.669,0.007,14.340,0.130,14.070,0.410,14.210,0.200,14.150,0.120,14.030,0.110,14.358,0.175,14.177,0.144,14.203,0.171,14.561,0.164,14.867,,13.958,0.003,14.039,0.003,14.518,0.003,14.842,0.004,15.177,0.005,,,,,,,,,,,14.923,0.033,14.877,0.057,15.039,0.105,,,,,,,,,,,,,,,,,,,15.101,0.038,15.246,0.097,12.740,,9.168,,-5.0,2.0,-4.0,2.0,-5.7,1.2,-9.7,1.4,-5.4,4.0,-6.4,4.0,,,,,-3.8,1.2,-8.2,1.4,,,,,,,,,const,const,,,,,,,,,,,,,,,,
LSE,153,13:53:08.23,-46:43:42.42,13.885619,208.284292,-46.728450,He-sdO,,1,11.1,70000,1500,4.75,0.15,,,Husfeld89,0.1057,0.0020,0.328,,,,,,,,,11.260,0.090,,,10.960,0.050,11.329,0.009,11.064,0.019,11.131,0.039,11.553,0.033,11.906,0.037,,,,,,,,,,,,,,,,,,,,,11.923,0.021,12.057,0.022,12.132,0.019,,,,,,,,,,,,,11.922,0.001,,,12.138,0.002,12.248,0.023,12.350,0.024,12.682,,8.798,,,,,,-20.5,1.0,-19.3,0.9,-22.3,2.0,-20.8,2.1,-20.0,,-24.0,,,,,,,,,,-24.7,2.0,-22.0,2.0,saturated,var?,,,,,,,,,,,,,,,,
EC,13506-3137,13:53:30.00,-31:52:35.86,13.891667,208.375000,-31.876628,sdB,,,13.8,,,,,,,,0.0470,0.0018,0.146,,,,,14.050,0.420,13.770,0.310,,,14.000,0.430,13.630,0.460,13.928,0.020,13.818,0.037,13.774,0.036,14.070,0.013,14.295,0.083,,,,,,,,,,,,,,,,,,,,,13.981,0.030,13.867,0.043,13.833,0.051,,,,,,,,,,,,,,,,,,,13.846,0.026,13.920,0.040,13.080,,9.502,,,,,,-23.6,3.5,-12.9,1.7,-13.9,4.3,-11.2,4.3,,,,,-9.5,3.2,-18.7,3.6,,,,,-24.5,2.4,-11.3,2.2,const,const,,,,,,,,,,,,,,,,
FBS,1351+393,13:53:34.84,39:04:17.9,13.893011,208.395167,39.071639,sd,,,14.2,,,,,,,,0.0218,0.0006,0.068,14.476,0.009,14.498,0.007,14.380,0.420,14.160,0.410,14.430,0.310,14.440,0.420,13.990,0.410,14.329,0.083,14.143,0.030,14.175,0.061,14.469,0.109,14.601,0.151,14.222,0.003,14.009,0.003,14.419,0.003,14.685,0.004,14.940,0.004,,,,,,,,,,,14.565,0.028,14.799,0.053,14.764,0.084,,,,,,,,,,,,,,,,,,,14.730,0.033,14.847,0.068,13.028,,8.907,,-7.0,3.0,-1.0,3.0,-10.8,1.3,-7.9,1.8,-12.4,4.3,2.7,4.3,,,,,-6.3,3.4,-2.3,2.8,-4.0,5.2,-9.0,5.2,,,,,const,const,,,,,,,,,,,,,,,,
SDSSJ9/10,135400.46+255010.5,13:54:00.46,25:50:10.5,13.900128,208.501917,25.836250,sdOB,,,17.7,37740,,5.50,,-0.92,,Nemethprep,0.0128,0.0002,0.040,16.429,0.040,16.703,0.020,18.100,0.420,17.740,0.430,18.270,0.360,18.380,0.460,17.460,0.410,,,,,,,,,,,17.276,0.009,17.638,0.005,18.173,0.007,18.549,0.010,18.935,0.045,,,,,,,,,,,,,,,,,18.567,0.038,18.786,0.073,18.770,0.106,,,,,,,,,,,,,,,,,,,,,-7.0,3.0,-11.0,3.0,,,,,-3.4,5.1,-5.6,5.1,,,,,-14.6,3.6,-17.2,2.0,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
EC,13511-2740,13:54:00.49,-27:55:16.74,13.900136,208.502042,-27.921317,sdB,,,14.2,,,,,,,,0.0583,0.0009,0.181,13.163,0.007,13.611,0.006,14.400,0.420,14.180,0.280,,,14.540,0.430,13.860,0.450,14.457,0.051,14.209,0.026,14.216,0.026,14.668,0.026,15.123,0.246,,,,,,,,,,,,,,,,,,,,,15.031,0.036,15.090,0.067,14.936,0.130,,,,,,,,,,,,,,,,,,,15.479,0.041,15.499,0.111,12.469,,9.490,,,,,,-5.9,1.1,-5.5,4.0,-7.9,4.6,-9.8,4.6,,,,,2.5,2.0,-12.4,1.8,,,,,-7.0,1.8,-1.9,1.6,const,const,,,,,,,,,,,,,,,,
PG,1351+139,13:54:01.84,13:43:50.4,13.900511,208.507667,13.730667,sdB,,,15.8,33870,,5.68,,-2.35,,Nemethprep,0.0211,0.0006,0.066,14.750,0.018,15.186,0.012,16.070,0.420,15.980,0.410,16.100,0.300,16.060,0.430,15.140,0.420,15.954,0.129,15.915,0.021,15.854,,16.183,,16.475,,15.647,0.005,15.798,0.004,16.126,0.005,16.320,0.005,16.444,0.008,,,,,,,,,,,15.791,0.069,15.435,0.110,15.006,0.139,15.974,0.006,15.769,0.005,15.426,0.008,15.358,0.013,,,,,,,,,,,15.355,0.040,15.316,0.092,13.157,,9.094,,-3.0,3.0,-5.0,3.0,4.5,4.8,-12.6,4.6,-4.6,4.2,-12.8,4.2,,,,,0.5,1.6,-0.8,1.6,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,135415.25+095522.6,13:54:15.25,09:55:22.6,13.904236,208.563542,9.922944,sdB,,,18.3,,,,,,,,0.0284,0.0008,0.088,,,,,18.560,0.430,18.150,0.420,18.630,0.370,18.670,0.470,18.010,0.420,,,,,,,,,,,18.301,0.015,18.381,0.007,18.594,0.009,18.722,0.012,18.782,0.032,,,,,,,,,,,,,,,,,18.364,0.031,18.133,0.042,18.065,0.052,17.826,0.111,,,,,,,,,,,,,,,,,,,-12.0,3.0,-8.0,3.0,,,,,-3.0,5.5,-5.1,5.5,,,,,-10.0,3.5,-8.1,3.1,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SBSS,1353+579,13:55:02.66,57:40:59.30,13.917406,208.761083,57.683139,sd+G:,,,16.5,,,,,,,,0.0078,0.0003,0.024,15.197,0.009,15.738,0.007,16.190,0.370,16.740,0.290,16.530,0.230,15.810,0.350,16.150,0.290,,,,,,,,,,,16.506,0.007,16.618,0.004,16.295,0.004,15.994,0.005,15.772,0.007,,,,,,,,,,,14.768,0.036,14.120,0.033,13.924,0.047,,,,,,,,,,,,,,,,,,,13.869,0.026,13.940,0.036,13.185,0.512,9.516,,6.0,3.0,-20.0,3.0,11.9,4.4,-22.2,4.1,3.7,3.9,-18.4,3.9,10.0,4.0,-16.0,1.0,3.8,1.2,-9.1,1.1,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,1352-022,13:55:04.71,-02:30:21.69,13.917975,208.769625,-2.506025,sdOB,,"1, FEROS",11.9,,,,,,,,0.0428,0.0003,0.133,,,,,,,,,12.340,0.260,,,11.620,0.090,12.133,0.045,11.872,0.036,11.867,0.021,12.359,0.063,12.702,0.066,11.825,0.002,11.886,6.739,12.433,0.001,12.825,0.002,13.619,0.006,,,11.7228,0.0003,12.3408,0.0003,12.7301,0.0005,13.0679,0.0010,12.759,0.026,12.937,0.029,13.029,0.032,,,,,12.892,0.002,13.016,0.003,,,,,,,,,,,13.087,0.025,13.168,0.029,12.650,,9.414,,0.0,0.0,0.0,0.0,-16.5,1.4,-6.7,0.8,-17.8,1.5,-8.1,1.5,-18.0,,-10.0,,-22.8,2.8,-4.8,2.3,-10.9,5.5,-1.8,5.5,,,,,saturated?,not covered,,,,,,,,,,,,,,,,
PG,1352+119,13:55:04.80,11:42:12.84,13.918000,208.770000,11.703567,sd,,,15.4,,,,,,,,0.0210,0.0008,0.065,15.165,0.020,15.230,0.013,15.630,0.430,15.390,0.410,15.310,0.310,15.780,0.430,14.880,0.440,15.560,0.038,15.482,0.011,15.449,0.075,15.792,0.014,16.017,0.051,15.473,0.005,15.342,0.004,15.757,0.004,16.070,0.005,16.354,0.008,,,,,,,,,,,16.013,0.098,15.860,0.185,15.933,,15.984,0.008,16.004,0.008,16.116,0.014,16.185,0.023,,,,,,,,,,,16.402,0.072,16.480,0.235,12.760,,9.366,,-1.0,3.0,-13.0,3.0,-0.6,1.7,-15.6,2.2,0.4,4.8,-11.7,4.8,,,,,-39.0,32.7,-25.2,16.0,-12.3,6.0,-13.8,6.0,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ9/10,135505.63+114440.0,13:55:05.63,11:44:40.0,13.918231,208.773458,11.744444,He-sdO,,,18.5,46930,,5.95,,1.85,,Nemethprep,0.0214,0.0006,0.066,17.174,0.052,17.623,0.041,18.910,0.430,18.420,0.420,18.900,0.390,,,18.180,0.440,,,,,,,,,,,18.187,0.014,18.567,0.008,19.131,0.012,19.486,0.018,19.858,0.085,,,,,,,,,,,,,,,,,19.465,0.113,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,3.0,-5.0,3.0,,,,,-0.2,5.2,-7.3,5.2,,,,,-8.1,5.8,-11.0,6.8,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SBSS,1353+538,13:55:15.88,53:34:42.09,13.921078,208.816167,53.578358,sdO(A),,,12.9,,,,,,,,0.0178,0.0010,0.055,,,,,13.180,0.410,13.010,0.420,13.220,0.240,13.290,0.420,12.850,0.370,12.960,0.023,12.656,0.063,12.603,0.125,13.181,0.035,13.502,0.079,12.992,0.003,12.904,0.001,13.411,0.005,13.754,0.002,13.968,0.005,,,,,,,,,,,13.533,0.022,13.599,0.032,13.746,0.064,,,,,,,,,,,,,,,,,,,13.779,0.025,13.889,0.036,13.172,0.535,9.160,,-10.0,3.0,13.0,3.0,-10.2,1.8,11.4,1.1,-9.9,1.7,16.1,1.7,-4.0,1.0,12.0,3.0,-11.1,1.8,8.1,1.5,-14.1,5.6,11.4,5.6,,,,,const,var?,,,,,,,,,,,,,,,,
EC,13527-1827,13:55:26.66,-18:42:09.39,13.924072,208.861083,-18.702608,sdB+MS,,,16.1,35674,500,5.53,0.05,-1.77,0.05,Lisker05,0.0766,0.0021,0.238,15.458,0.020,15.594,0.010,16.130,0.420,16.140,0.290,,,16.120,0.430,16.030,0.430,16.120,0.049,16.181,0.033,16.077,0.016,16.237,0.053,16.363,0.155,,,,,,,,,,,,,,,,,,,,,15.745,0.056,15.663,0.128,15.302,0.182,,,,,,,,,,,15.776,0.005,15.638,0.005,,,15.336,0.017,15.415,0.042,15.486,0.118,12.280,,9.400,,,,,,1.5,4.9,-6.4,3.0,3.2,4.5,-6.9,4.5,12.0,,-4.0,4.0,7.6,3.2,1.1,3.8,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,1353+162,13:55:34.78,16:00:17.30,13.926328,208.894917,16.004806,sdOB,,,15.7,38190,,5.55,,-1.35,,Nemethprep,0.0174,0.0004,0.054,14.541,0.016,14.828,0.007,16.190,0.420,15.860,0.410,16.370,0.340,16.320,0.430,15.420,0.410,15.950,0.087,15.717,0.037,15.684,0.059,16.210,0.083,,,15.322,0.004,15.639,0.003,16.138,0.004,16.505,0.005,16.857,0.010,,,,,,,,,,,16.256,0.121,16.085,,15.789,,,,,,,,,,,,,,,,,,,,16.879,0.106,16.968,0.379,13.092,,8.945,,-9.0,3.0,1.0,3.0,-11.7,5.2,-4.9,4.9,-8.6,4.6,-5.8,4.6,,,,,-12.1,2.3,-2.4,5.3,-10.4,6.0,10.2,6.0,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,1353+152,13:55:39.22,14:54:38.97,13.927561,208.913417,14.910825,sdB,,,15.9,29360,,5.40,,-2.49,,Nemethprep,0.0183,0.0005,0.057,14.764,0.018,15.193,0.007,16.200,0.420,16.100,0.410,16.520,0.360,16.350,0.430,15.520,0.410,16.044,0.095,15.902,0.074,15.851,0.107,16.160,0.026,,,15.680,0.005,15.769,0.004,16.192,0.004,16.442,0.005,16.640,0.008,,,,,,,,,,,15.972,0.089,15.814,0.168,15.336,0.163,16.187,0.007,16.104,0.007,15.893,0.013,15.867,0.018,,,,,,,,,,,15.974,0.054,16.087,0.169,13.120,,9.394,,0.0,3.0,-11.0,3.0,-2.0,6.5,-15.4,6.0,-1.1,4.4,-10.9,4.4,,,,,-5.2,2.1,-15.3,2.6,-7.1,6.0,-10.5,6.0,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ9/10,135627.84+264110.7,13:56:27.84,26:41:10.7,13.941067,209.116000,26.686306,sdB,,,16.9,29420,,4.83,,-3.25,0.00,Nemethprep,0.0228,0.0007,0.071,16.531,0.050,16.684,0.018,16.820,0.420,16.980,0.430,16.970,0.360,17.000,0.420,16.700,0.430,,,,,,,,,,,17.073,0.008,16.996,0.004,17.156,0.005,17.258,0.006,17.362,0.014,,,,,,,,,,,,,,,,,16.870,0.013,16.745,0.018,16.627,0.030,16.569,0.047,,,,,,,,,,,16.108,0.062,15.966,0.165,12.664,,9.407,,-17.0,2.0,-2.0,2.0,,,,,-17.0,4.7,-1.3,4.7,-14.0,4.0,,2.0,-17.8,1.3,-8.7,1.5,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J13564-4934,13:56:29.22,-49:34:03.94,13.941450,209.121750,-49.567761,sdB,,1,12.1,33070,660,5.74,0.16,-2.75,0.43,Nemeth12,0.1755,0.0040,0.544,12.342,0.003,12.387,0.002,,,,,12.300,0.170,,,11.900,0.080,12.237,0.030,12.142,0.012,12.111,0.009,12.375,0.032,12.577,0.080,,,,,,,,,,,,,,,,,,,,,11.983,0.025,11.705,0.029,11.633,0.023,,,,,,,,,,,,,11.976,0.001,,,11.656,0.001,11.601,0.023,11.677,0.022,11.443,0.105,9.468,0.430,,,,,-18.6,1.7,8.6,2.7,-16.0,2.2,4.7,2.1,-18.0,,,,,,,,,,,,-20.4,1.0,9.0,1.1,saturated?,const,,,,,,,,,,,,,,,,
